"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"1","N191","N188",54.5,46.15,"Paragloborotalia griffinoides"
"2","N199","N190",53.5,44.5,"Globorotaloides quadrocameratus"
"3","N201","N199",44.5,30.4,"Globorotaloides eovariabilis"
"4","N295","N998",26.3,15.8,"Globorotaloides eovariabilis"
"5","T140","N142",44.35,38,"Acarinina mcgowrani"
"6","T192","N191",46.15,33.7,"Paragloborotalia griffinoides"
"7","T211","N210",39.4,34.3,"Catapsydrax globiformis"
"8","T275","N273",32.9,27.2,"Subbotina sp2"
"9","T323","F46477",21.7962309018396,16.3,"Globoturborotalita labiacrassata"
"10","T362","N221",44.6,34,"Clavigerinella eocanica"
"11","T367","N366",29.4,4,"Protentella prolixa-Protentella nicobarensis"
"12","T7","N6",45.25,39.3,"Pseudohastigerina sharkriverensis"
"13","F90752","F90721",33.5597063082294,22.920392399237,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"14","F64459","N191",46.15,35.48206404889,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"15","F28445","F28433",11.3140799118287,2.70747167094683,"Globigerina eamesi"
"16","F79276","N262",55.6,50.5836626110459,"Subbotina roesnaesensis"
"17","F46705","N318",42.4,35.9364022310694,"Globoturborotalita martini"
"18","F29203","N276",47.55,40.762620048672,"Subbotina roesnaesensis-Globigerina officinalis"
"19","F42946","N199",44.5,35.862037659198,"Globorotaloides quadrocameratus"
"20","F9166","N70",60.75,52.925299722061,"Alicantina lozanoi-Alicantina prolata"
"21","F66175","N149",37.2,26.5452539910679,"Paragloborotalia pseudokugleri-Paragloborotalia kugleri"
"22","F90631","F90752",22.920392399237,16.1523533625645,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"23","F68478","F68343",52.1497791550668,45.6310690689077,"Parasubbotina varianta-Parasubbotina pseudowilsoni"
"24","F3094","F3134",39.2205292891644,33.8905690161814,"Acarinina echinata"
"25","F28431","F28448",20.3748713992405,15.1969200800081,"Globigerina eamesi"
"26","F49386","N26",15.15,8.94836885336786,"Globorotalia challengeri-Globorotalia juanai"
"27","F67295","F67322",43.3471846817015,38.0131087506914,"Parasubbotina griffinae"
"28","F90500","N314",44.15,38.3163856034182,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"29","F45060","N308",54.5,48.7559534104158,"Globoturborotalita bassriverensis"
